θεῖον τὸ κάλλος καὶ θεόσδοτος χάρις	POS
ὡς δὲ εἴς τι πανδοχεῖον ἤλθομεν, ἠριστῶμεν ἅμα·	NEU
Χαρὰ καὶ εἰς τὴν ἐρωτικήν, τὴν ἔμορφην ἐκείνην, ὁποῦ τοιοῦτον ἄγουρον μέλλει νὰ περιλάβῃ”!	POS
Καὶ γὰρ τὸ τέκνον, ὁ Κλέανδρος, ὁ ξένος, ὡς πτηνὸν ἐκπτὰς πατρικῆς ἐξ ἀγκάλης κεῖται πεσὼν οἴκτιστος ἐν ξένοις τόποις.	NEG
Αὐχεῖς, ἰδού, τὸ κάλλος ὑπὲρ τὸν λόγον·	POS
καὶ μεθ’ ἡμέρας σκέψεως καὶ βουλῆς παγκαλλίστης, ἐν τῷ Εὐφράτῃ ἔκρινα τὴν οἴκησιν ποιῆσαι, κατασκευάσαι τε λαμπρὸν καὶ ἐξαίσιον οἶκον”.	POS
ὅπου κανεὶς οὐ δύναται καὶ τῶν μεγαλωτέρων τὸ νὰ συντύχῃ κἂν ποσῶς, ἐσὺ λαλεῖς νὰ ποίσῃς;	NEU
Ἐδώκασιν τὰ βούκινα καὶ τὰ παιγνίδια ὅλα, τρουμπέττες καὶ ἄλλα μουσικὰ ὄργανα τοῦ πολέμου.	NEU
ὁ νοῦς μου διὰ τὸν ἔρωταν τὸν ἰδικόν του ἐθλίβην”.	NEG
καὶ ὑπόδειξον αὐτῷ ἐναργέστατα ὅτι σὺ εἶ ὁ ἀεὶ ζῶν θεὸς ἀψευδὴς καὶ βασιλεὺς μόνος αἰώνιος καὶ ἀθάνατος.	POS
Ὦ φίλα δεσμὰ καὶ πλοκαὶ τῆς ἀγκάλης καὶ δακτύλων ἕλιγμα καὶ ποδῶν στρέβλα.	POS
ἦν δὲ καὶ ἰδίᾳ τῷ Σωστράτῳ νύκτωρ ἡ θεὸς ἐπιστᾶσα·	NEU
Καὶ ἂν ἦτον δίκαιον νὰ ὀργιστῇς τοσοῦτον εἰς ἐμένα, ἄφες με ἀσυμπάθητον καὶ ψυχοπονεμένον·	NEG
Πόθος γὰρ πόθου στερηθεὶς ὑπομονὴν οὐκ ἔχει, τῶν δὲ ἄλλων ἔχει μέριμναν, ἂν εἴποις, οὐδεμίαν.	NEG
Κήρυκες οὖν αὐτίκα διήγγελλον τὴν γραφήν, μόνῳ τῷ ἄρρενι γένει τὴν ὑπάντησιν ἐπιτρέποντες γυναιξὶ δὲ ἀπαγορεύοντες.	NEU
τίς παστάς, οἷος γάμος, οἵα παρθένος;	NEU
τί γὰρ ἄξιον ἐποίησά σοι”;	NEU
δικάζει, ἐκατεδίκασεν πυρὶ πυρποληθῆναι, νὰ κάψουσιν τὸν Φλώριον μετὰ τὴν Πλάτζια Φλώρα.	NEG
“Ἀλλὰ κατὰ τὴν τραγῳδίαν χρηστοῖσι δούλοις συμφορὰ τὰ δεσποτῶν κακῶς πίτνοντα”.	NEG
Πλὴν τὴν χαρὰν ἐκείνην εἶχέν την ὡς τὰ σκύβαλα, οὐκ ἔβλεπεν εἰς αὔτην.	NEU
Εἶδεν αὐτὸν τὸν μισθαργόν, τοῦ κήπου τὸν δραγάτην, τὸν ἐκ τὸν κόπον τοῦ νεροῦ, τὸ βάρος τὸ τοῦ κήπου ὁ κηπουρὸς ἐστοίχησεν ὁ γέρων νὰ δουλεύῃ, εἶδεν αὐτὸν τὸν μισθαργὸν ὁμοῦ μετὰ τῆς κόρης.	NEU
πάντως δ' ἂν καὶ ἐγνώρισεν, εἰ μὴ σφόδρα πέπειστο Καλλιρόην ἀπειληφέναι Διονύσιον.	NEU
ἰδού, Ῥοδάνθη, χαιρέτω τὰ δάκρυα, εἰς μακρὰν ἐρρίφθωσαν οἱ συχνοὶ γόοι.	POS
Ἀρχὴ τῆς ὑποθέσεως λοιπὸν καὶ τῶν ἐνταῦθα.	NEU
Οὐδ’ ὁ Κλέανδρος ἀνέραστος ἐσχέθη, οὐ τὴν φυλακὴν δυστυχῶς προεισέδυ ἐρωτικῶν ἄμοιρος ἐννοημάτων καὶ συμφορῶν ἄγευστος, αἷς παίει Τύχη ἐρωτικοῖς με συμπλακέντα δικτύοις.	NEG
τῶν δὲ ῥυτήρων οὐκέτι κρατεῖν δυνάμενος, δοὺς δὲ ἑαυτὸν ὅλως τῷ τοῦ δρόμου πνεύματι, τῆς τύχης ἦν.	NEU
“καὶ γὰρ ἐν ἀφθονωτέροις τῇδε πλέον ἢ παρ' ἡμῖν οἶδα ἐσομένους, εἰ καὶ μένειν βουλομένοις ἦν.	NEU
Σωτήρ μοι τῆς οὐδαμόθεν ἐλπισθείσης ἔτι θυγατρὸς γέγονας καὶ δέδωκας ἰδεῖν τὴν ἐμοὶ πάντων ἡδίστην θέαν.	POS
Φιλοῦσα δὲ αὐτοῦ τοὺς ὀφθαλμοὺς “ὦ” φησὶ “πολλάκις με λυπήσαντες ὑμεῖς, ὦ τὸ πρῶτον ἐνθέντες τῇ ἐμῇ κέντρον ψυχῇ, οἱ τότε μὲν σοβαροί, νῦν δὲ ἐρωτικοί, καλῶς μοι διηκονήσατε, καὶ τὸν ἔρωτα τὸν ἐμὸν καλῶς εἰς τὴν Ἁβροκόμου ψυχὴν ὡδηγήσατε.	POS
Εἶτα κατηχήσας καὶ νηστεύειν ἐπὶ πολλὰς ἐντειλάμενος ἡμέρας, τῷ θείῳ καθαίρει βαπτίσματι.	POS
Οὕτως ἂς τοὺς συντρίψωμεν ὡς φάλκον τὰ περδίκια”.	NEU
Παρθένος γὰρ ἡ Δάφνη καὶ παρθένος καλή.	POS
Ἐν δὲ τῷ χρόνῳ ὃν ἡ Ἀνθία ληφθεῖσα ἐκ τοῦ λῃστηρίου ἦλθεν εἰς τὴν Ταρσὸν πρεσβύτης Ἐφέσιος ἰατρὸς τὴν τέχνην, Εὔδοξος τοὔνομα·	NEU
Πολυχάρμου δὲ τοῦ φίλου κωλύοντος αὐτὸν ἀποκαρτερεῖν “σύ μοι πάντων” εἶπε “πολεμιώτατος ὑπάρχεις φίλου σχήματι·	NEG
ἦν γὰρ ἀγαθῶν χωρίον ὁ κῆπος καὶ θεῶν δάπεδον καὶ ὅλος χάρις καὶ ἡδονή, τέρψις ὀφθαλμῶν, καρδίας παραψυχή, παραμυθία ψυχῆς, μελῶν ἄνεσις, ἀνάπαυλα σώματος.	POS
Οὗτοι δ' οὖν τότε πεζοὶ τοὺς ἱππέας ἔφθανον καί τινας καὶ τραυματίας γενέσθαι σφενδονῶντες ἴσχυσαν·	NEG
Τίς μὴ τοσοῦτον ὄλβον ἀνθέλοιτό μοι;	NEU
Ἐπὶ τούτοις οὐκέτι κατέσχεν ἡ Ἀρσάκη ἀλλ' ἔπασχεν ὃ δὴ καὶ πάντες ὡς ἐπίπαν οἱ ἐρῶντες·	NEG
Καὶ μετὰ πάσης ἡδονῆς περιπλακεὶς τὴν κόρην, καταφιλεῖ τοὺς μώλωπας, παρακαλεῖ καὶ λέγει·	POS
Τέλος δὲ θροῦν τινα καὶ βόμβον αἰσθόμενος ἐκ τῶν κοίλων τοῦ σπηλαίου φερόμενον, διελέγοντο γὰρ ἔτι πρὸς ἑαυτοὺς Θεαγένης τε καὶ Κνήμων, τούτους ἐκείνους εἶναι τοὺς σφαγέας τῆς Θίσβης εἴκαζε καὶ ἀμηχάνως εἶχεν ὅ τι καὶ δράσειεν, ὑπὸ μὲν θυμοῦ λῃστρικοῦ καὶ βαρβαρικῆς ὀργῆς πλέον τότε δι' ἐρωτικὴν ἀποτυχίαν ἐπιτεινομένης ὁμόσε χωρεῖν αὐτόθι τοῖς νομιζομένοις αἰτίοις ἐπειγόμενος, ἀπορίᾳ δὲ ὅπλων καὶ ξίφους ἄκων πρὸς ἐγκράτειαν καταστελλόμενος.	NEU
Καὶ ὁκάποιος ἄλλος εὐγενής, ἄνθρωπος ἀπὸ χώρας, τοπάρχης πλούσιος φοβερός, ρήγας τῆς γῆς Λιβάνδρου, ὄνομα, ξένε, Λίβιστρος, παράξενος εἰς πλάσιν, νέος πολλὰ καλόκοπος, μέγας εἰς τὴν ἀνδρείαν, διὰ πόθον τὸν ἐφάντασεν ἐμὸν ὁ ἐρωτοκράτωρ, δι’ ἀγάπην μου τὸν ἔφλεξεν ἡ φλόγα τῆς Ἀγάπης, διὰ τὴν ἐμὴν ἀσχόλησιν ἔπαθεν ἡ ψυχή του·	NEU
οὐ δήπου γὰρ τοὺς δικαιοτάτους ἐστρατολόγησας, ἵνα σοι τὴν πίστιν φυλάττωσιν, ἀλλὰ τοὺς πονηροτάτους ἄνδρας ὧν ᾔδεις.	NEU
ὢ θανάτου καλοῦ, μεθ' ὃν ἤκουσα τὸν δεύτερον Καλλιρόης γάμον.	NEG
“Τί οὖν” ἔφην “δεῖ σε συμπλέκεσθαι τοῖς Φοίνιξιν ἀλλὰ μὴ ἀναιμωτὶ καὶ πρὸ τῆς θαλάττης ἔχειν, ἐκ τῆς οἰκίας ἁρπάσαντα τῆς ἐμῆς”;	NEG
αἲ αἲ τῆς ἀπανθρώπου Τύχης” Κλέανδρος εἰπὼν τὸν πανύστατον λόγον καὶ τὴν πνοὴν ἀφῆκεν ἅμα τῷ λόγῳ.	NEG
“Ὁ ἀφέντης μας στάμενα ἀγαπᾷ νὰ κερδαίνῃ καὶ διὰ τοῦτον ποιεῖ εἴτις”.	NEU
συντεύξεσθαί ποτε ὑπελθόντι καὶ ἀπολαύσειν, ἢ καὶ αὐτὴ παρ' ἐκεῖνον φοιτήσειν ὅπου ποτ' ἂν ᾖ γῆς ὑποτίθεμαι.	NEU
